"STATION","NAME","DATE","DLY-CLDD-BASE45","DLY-CLDD-BASE50","DLY-CLDD-BASE55","DLY-CLDD-BASE57","DLY-CLDD-BASE60","DLY-CLDD-BASE70","DLY-CLDD-BASE72","DLY-CLDD-NORMAL","DLY-DUTR-NORMAL","DLY-DUTR-STDDEV","DLY-GRDD-BASE40","DLY-GRDD-BASE45","DLY-GRDD-BASE50","DLY-GRDD-BASE55","DLY-GRDD-BASE57","DLY-GRDD-BASE60","DLY-GRDD-BASE65","DLY-GRDD-BASE70","DLY-GRDD-BASE72","DLY-GRDD-TB4886","DLY-GRDD-TB5086","DLY-HTDD-BASE40","DLY-HTDD-BASE45","DLY-HTDD-BASE50","DLY-HTDD-BASE55","DLY-HTDD-BASE57","DLY-HTDD-BASE60","DLY-HTDD-NORMAL","DLY-PRCP-25PCTL","DLY-PRCP-50PCTL","DLY-PRCP-75PCTL","DLY-PRCP-PCTALL-GE001HI","DLY-PRCP-PCTALL-GE010HI","DLY-PRCP-PCTALL-GE050HI","DLY-PRCP-PCTALL-GE100HI","DLY-SNOW-25PCTL","DLY-SNOW-50PCTL","DLY-SNOW-75PCTL","DLY-SNOW-PCTALL-GE001TI","DLY-SNOW-PCTALL-GE010TI","DLY-SNOW-PCTALL-GE030TI","DLY-SNOW-PCTALL-GE050TI","DLY-SNOW-PCTALL-GE100TI","DLY-SNWD-25PCTL","DLY-SNWD-50PCTL","DLY-SNWD-75PCTL","DLY-SNWD-PCTALL-GE001WI","DLY-SNWD-PCTALL-GE003WI","DLY-SNWD-PCTALL-GE005WI","DLY-SNWD-PCTALL-GE010WI","DLY-TAVG-NORMAL","DLY-TAVG-STDDEV","DLY-TMAX-NORMAL","DLY-TMAX-STDDEV","DLY-TMIN-NORMAL","DLY-TMIN-STDDEV","MTD-PRCP-NORMAL","MTD-SNOW-NORMAL","YTD-PRCP-NORMAL","YTD-SNOW-NORMAL"
"USW00014739","BOSTON, MA US","01-01","-7777","-7777","-7777","-7777","0","0","0","0","13.3","5.7","1","-7777","-7777","-7777","-7777","0","0","0","0","-7777","-7777","10","15","20","25","27","30","35","0.04","0.14","0.42","37.9","218","76","22","0.3","0.9","2.4","190","94","43","28","4","1","3","7","243","147","105","45","30.2","9.5","36.8","10.2","23.5","9.6","0.11","0.4","0.11","0.4"
"USW00014739","BOSTON, MA US","01-02","-7777","-7777","-7777","-7777","0","0","0","0","13.4","5.7","1","-7777","-7777","-7777","-7777","0","0","0","0","-7777","-7777","11","15","20","25","27","30","35","0.04","0.14","0.42","37.9","218","76","21","0.3","0.9","2.5","192","96","44","28","3","1","3","8","250","153","108","46","30.0","9.5","36.6","10.3","23.3","9.7","0.22","0.8","0.22","0.8"
"USW00014739","BOSTON, MA US","01-03","-7777","-7777","-7777","-7777","0","0","0","0","13.4","5.7","1","-7777","-7777","-7777","-7777","0","0","0","0","-7777","-7777","11","15","20","25","27","30","35","0.04","0.14","0.42","37.8","218","76","21","0.3","0.9","2.4","194","98","44","28","3","2","3","8","257","158","111","47","29.8","9.6","36.5","10.3","23.1","9.7","0.33","1.2","0.33","1.2"
"USW00014739","BOSTON, MA US","01-04","-7777","-7777","-7777","-7777","0","0","0","0","13.4","5.8","1","-7777","-7777","-7777","-7777","0","0","0","0","-7777","-7777","11","16","20","25","27","30","35","0.04","0.14","0.42","37.7","217","76","21","0.3","0.9","2.4","197","99","45","28","3","2","3","8","264","164","115","49","29.6","9.7","36.3","10.4","22.9","9.8","0.44","1.6","0.44","1.6"
"USW00014739","BOSTON, MA US","01-05","-7777","-7777","-7777","-7777","0","0","0","0","13.4","5.8","1","-7777","-7777","-7777","-7777","0","0","0","0","-7777","-7777","11","16","21","26","28","31","36","0.04","0.14","0.42","37.7","217","76","20","0.3","0.9","2.4","199","101","45","28","3","2","3","8","271","169","118","50","29.5","9.7","36.2","10.4","22.8","9.9","0.55","2.1","0.55","2.1"
"USW00014739","BOSTON, MA US","01-06","-7777","-7777","-7777","-7777","0","0","0","0","13.5","5.8","1","-7777","-7777","-7777","-7777","0","0","0","0","-7777","-7777","11","16","21","26","28","31","36","0.04","0.14","0.42","37.6","217","75","20","0.4","0.9","2.4","201","103","45","28","3","2","3","8","279","175","121","52","29.3","9.8","36.1","10.5","22.6","9.9","0.67","2.5","0.67","2.5"
"USW00014739","BOSTON, MA US","01-07","-7777","-7777","-7777","-7777","0","0","0","0","13.5","5.8","1","-7777","-7777","-7777","-7777","0","0","0","0","-7777","-7777","11","16","21","26","28","31","36","0.04","0.14","0.42","37.5","216","75","20","0.4","1.0","2.4","203","104","46","28","3","2","3","8","286","180","124","53","29.2","9.8","35.9","10.5","22.5","10.0","0.77","2.9","0.77","2.9"
"USW00014739","BOSTON, MA US","01-08","-7777","-7777","-7777","-7777","0","0","0","0","13.5","5.8","1","-7777","-7777","-7777","-7777","0","0","0","0","-7777","-7777","12","16","21","26","28","31","36","0.04","0.14","0.42","37.4","216","75","19","0.4","1.0","2.4","206","106","46","28","3","2","3","8","294","186","127","54","29.1","9.9","35.8","10.6","22.3","10.0","0.88","3.3","0.88","3.3"
"USW00014739","BOSTON, MA US","01-09","-7777","-7777","-7777","-7777","0","0","0","0","13.5","5.8","1","-7777","-7777","-7777","-7777","0","0","0","0","-7777","-7777","12","16","21","26","28","31","36","0.04","0.14","0.42","37.3","215","75","19","0.4","1.0","2.4","207","107","46","28","3","2","3","8","301","192","130","56","29.0","9.9","35.7","10.6","22.2","10.1","0.99","3.8","0.99","3.8"
"USW00014739","BOSTON, MA US","01-10","-7777","-7777","-7777","-7777","0","0","0","0","13.5","5.8","1","-7777","-7777","-7777","-7777","0","0","0","0","-7777","-7777","12","16","21","26","28","31","36","0.04","0.14","0.42","37.1","215","75","19","0.4","1.0","2.4","208","108","47","28","3","2","3","8","308","198","133","57","28.9","10.0","35.6","10.6","22.1","10.1","1.10","4.2","1.10","4.2"
