,0
      Af,#0000FF
      Am,#0000FF
      As,#0000FF
      Aw,#0000FF
      EF,#696969
      ET,#696969
     BSh,#FFA500
     BSk,#FFA500
     BWh,#FF0000
     BWk,#FF0000
     Cfa,#ADFF2F
     Cfb,#ADFF2F
     Cfc,#ADFF2F
     Csa,#FFFF00
     Csb,#FFFF00
     Csc,#FFFF00
     Cwa,#98FB98
     Cwb,#98FB98
     Cwc,#98FB98
     Dfa,#00FFFF
     Dfb,#00FFFF
     Dfc,#00FFFF
     Dfd,#00FFFF
     Dsa,#FF00FF
     Dsb,#FF00FF
     Dsc,#FF00FF
     Dsd,#FF00FF
     Dwa,#7B68EE
     Dwb,#7B68EE
     Dwc,#7B68EE
     Dwd,#7B68EE
