tag-local-identifier,location-long,location-lat,Date,Time,Coordinates
Z659,13.880999999999998,37.386,2016-08-02,03:44:13,"(37.385999999999996, 13.880999999999998)"
Z659,13.562,36.98,2016-08-02,11:10:43,"(36.98, 13.562000000000001)"
Z659,13.681,35.959,2016-08-02,23:13:13,"(35.959, 13.681)"
Z659,13.79,34.893,2016-08-03,11:09:43,"(34.893, 13.79)"
Z659,14.1,33.419000000000004,2016-08-03,23:12:13,"(33.419000000000004, 14.1)"
Z659,15.139,33.282,2016-08-04,11:07:13,"(33.282, 15.139000000000001)"
Z659,15.258,34.837,2016-08-04,23:03:43,"(34.836999999999996, 15.258)"
Z659,14.804,35.374,2016-08-05,11:06:13,"(35.374, 14.804)"
Z659,14.979,34.803000000000004,2016-08-05,23:07:13,"(34.803000000000004, 14.979000000000001)"
Z659,15.276,34.451,2016-08-06,11:04:43,"(34.451, 15.276)"
Z659,15.385,34.433,2016-08-06,23:04:43,"(34.433, 15.385)"
Z659,15.619000000000002,34.648,2016-08-07,11:03:43,"(34.648, 15.619000000000002)"
Z659,15.603,35.328,2016-08-07,23:02:43,"(35.328, 15.603)"
Z659,15.461,35.779,2016-08-08,11:03:43,"(35.779, 15.460999999999999)"
Z659,15.443,36.007,2016-08-08,23:03:43,"(36.007, 15.443)"
Z659,15.424,36.236,2016-08-09,11:03:43,"(36.236, 15.424000000000001)"
Z659,15.594,36.125,2016-08-09,23:03:43,"(36.125, 15.594000000000001)"
Z659,15.447,35.42,2016-08-10,11:02:13,"(35.42, 15.447000000000001)"
Z659,15.241,34.818000000000005,2016-08-10,23:04:43,"(34.818000000000005, 15.241)"
Z659,15.031,34.183,2016-08-11,11:03:43,"(34.183, 15.030999999999999)"
Z659,14.574000000000002,34.053000000000004,2016-08-11,23:06:13,"(34.053000000000004, 14.574000000000002)"
Z659,14.613,34.931999999999995,2016-08-12,11:07:13,"(34.931999999999995, 14.613)"
Z659,14.78,35.56,2016-08-12,23:05:43,"(35.56, 14.78)"
Z659,14.568,35.438,2016-08-13,11:05:43,"(35.438, 14.568)"
Z659,14.672,34.667,2016-08-13,23:07:13,"(34.667, 14.672)"
Z659,14.959,34.274,2016-08-14,11:04:43,"(34.274, 14.959000000000001)"
Z659,14.748,34.936,2016-08-14,23:04:43,"(34.936, 14.748)"
Z659,14.843,36.241,2016-08-15,11:06:13,"(36.241, 14.843)"
Z659,15.447,36.516,2016-08-15,23:03:43,"(36.516, 15.447000000000001)"
Z659,15.417,35.482,2016-08-16,11:01:13,"(35.482, 15.417)"
Z659,15.268,34.679,2016-08-16,23:03:43,"(34.679, 15.267999999999999)"
Z659,14.986,33.526,2016-08-17,11:02:13,"(33.525999999999996, 14.985999999999999)"
Z659,14.216,33.53,2016-08-17,23:05:43,"(33.53, 14.216)"
Z659,14.058,34.983000000000004,2016-08-18,11:08:13,"(34.983000000000004, 14.058)"
Z659,14.343,35.424,2016-08-18,23:06:43,"(35.424, 14.343)"
Z659,14.562,35.725,2016-08-19,11:05:43,"(35.725, 14.562000000000001)"
Z659,14.973,35.595,2016-08-19,23:04:43,"(35.595, 14.972999999999999)"
Z659,14.811,34.109,2016-08-20,11:02:13,"(34.109, 14.811)"
Z659,14.223,33.665,2016-08-20,23:05:43,"(33.665, 14.222999999999999)"
Z659,14.066,34.296,2016-08-21,11:06:43,"(34.296, 14.065999999999999)"
Z659,14.285,33.981,2016-08-21,23:06:43,"(33.981, 14.285)"
Z659,14.439,33.501999999999995,2016-08-22,11:04:43,"(33.501999999999995, 14.439)"
Z659,14.22,33.996,2016-08-22,23:05:13,"(33.996, 14.22)"
Z659,14.061,34.66,2016-08-23,11:06:13,"(34.66, 14.061)"
Z659,14.215,34.508,2016-08-23,23:06:13,"(34.508, 14.215)"
Z659,14.368,34.358000000000004,2016-08-24,11:04:43,"(34.358000000000004, 14.368)"
Z659,15.1,32.554,2016-08-24,23:04:43,"(32.554, 15.1)"
Z659,15.674,30.347,2016-08-25,10:58:43,"(30.346999999999998, 15.674000000000001)"
Z659,15.084,31.642,2016-08-25,22:59:43,"(31.642, 15.084000000000001)"
Z659,14.912,34.232,2016-08-26,11:03:13,"(34.232, 14.912)"
Z659,15.443,34.787,2016-08-26,23:00:43,"(34.787, 15.443)"
Z659,15.34,33.515,2016-08-27,10:58:43,"(33.515, 15.34)"
Z659,15.056,32.768,2016-08-27,23:01:13,"(32.768, 15.056)"
Z659,15.206,33.352,2016-08-28,11:00:43,"(33.352, 15.206)"
Z659,15.232,34.33,2016-08-28,22:59:43,"(34.33, 15.232000000000001)"
Z659,14.879,34.146,2016-08-29,11:00:13,"(34.146, 14.879000000000001)"
Z659,14.908,32.741,2016-08-29,23:02:13,"(32.741, 14.908)"
Z659,15.179,32.114000000000004,2016-08-30,10:59:43,"(32.114000000000004, 15.179)"
Z659,14.894,33.38,2016-08-30,22:59:43,"(33.38, 14.894)"
Z659,14.725,35.063,2016-08-31,11:01:43,"(35.063, 14.725)"
Z659,15.127,34.879,2016-08-31,23:00:43,"(34.879, 15.127)"
Z659,15.208,33.632,2016-09-01,10:58:13,"(33.632, 15.208)"
Z659,15.107,32.978,2016-09-01,22:59:43,"(32.978, 15.107000000000001)"
Z659,15.377,33.668,2016-09-02,10:58:43,"(33.668, 15.377)"
Z659,11.107,45.71100000000001,2016-10-14,11:02:43,"(45.711000000000006, 11.107000000000001)"
Z659,11.378,42.694,2016-10-14,23:00:13,"(42.693999999999996, 11.378)"
Z659,11.351,41.658,2016-10-15,11:00:13,"(41.658, 11.350999999999999)"
Z659,11.066,39.16,2016-10-15,23:00:13,"(39.16, 11.065999999999999)"
Z659,10.797,36.74,2016-10-16,11:02:13,"(36.74, 10.797)"
Z659,11.019,37.392,2016-10-16,23:02:13,"(37.391999999999996, 11.019)"
Z659,11.122,38.747,2016-10-17,11:00:13,"(38.747, 11.122)"
Z659,10.845,37.956,2016-10-17,23:01:13,"(37.955999999999996, 10.845)"
Z659,11.018,34.761,2016-10-18,11:02:13,"(34.760999999999996, 11.017999999999999)"
Z659,11.728,34.712,2016-10-18,22:59:43,"(34.711999999999996, 11.728)"
Z659,10.765999999999998,43.435,2016-10-19,10:56:13,"(43.435, 10.765999999999998)"
Z659,12.68,42.567,2016-10-20,11:04:43,"(42.567, 12.68)"
Z659,15.077,34.42,2016-10-20,22:46:13,"(34.42, 15.077)"
Z659,15.026,38.831,2016-10-21,10:42:13,"(38.830999999999996, 15.026)"
Z659,14.550999999999998,41.258,2016-10-21,22:46:43,"(41.258, 14.550999999999998)"
Z659,14.913,40.083,2016-10-22,10:45:43,"(40.083, 14.913)"
Z659,15.265,38.938,2016-10-22,22:43:43,"(38.938, 15.265)"
